,model_name,num_files,preprocessing_time,inference_time,total_time
0,Baseline,2000,11.113295316696169,1.566072940826416,12.679368257522585
1,Baseline,4000,24.388108253479004,1.7818398475646973,26.1699481010437
2,Baseline,6000,34.08805251121521,2.178313970565796,36.266366481781006
3,Baseline,8000,46.00640058517456,2.6956799030303955,48.702080488204956
4,Baseline,10000,57.613903760910034,3.277988910675049,60.89189267158508
5,Baseline,12000,80.7978765964508,3.8355207443237305,84.63339734077454
6,Baseline,14000,85.64164447784424,4.603820085525513,90.24546456336975
7,Baseline,16000,96.03335642814636,5.125881195068359,101.15923762321472
8,Baseline,18000,122.40933680534364,5.670247793197632,128.07958459854126
9,Baseline,20000,115.92788910865784,6.022107839584351,121.94999694824219
10,Baseline,22000,147.0719485282898,6.758958578109741,153.83090710639954
11,Baseline,24000,151.4051423072815,7.16211199760437,158.56725430488586
12,Baseline,26000,162.38169622421265,8.048716068267822,170.43041229248047
13,Baseline,28000,190.8481833934784,8.25389814376831,199.1020815372467
14,Baseline,30000,188.79527163505557,8.883552312850952,197.67882394790652
15,Baseline,32000,209.2855565547943,9.399960041046144,218.68551659584045
16,Baseline,34000,221.04177832603452,9.941498756408691,230.9832770824432
17,Baseline,36000,233.1352863311768,10.47506833076477,243.61035466194156
18,Baseline,38000,259.3137593269348,11.14152216911316,270.455281496048
19,Baseline,40000,269.39794182777405,11.537522315979004,280.93546414375305
20,Baseline,42000,299.0624737739563,12.206959009170532,311.26943278312683
21,Baseline,44000,312.3991448879242,12.666820764541626,325.0659656524658
22,Baseline,46000,329.1956946849823,13.459315538406372,342.6550102233887
23,Baseline,48000,349.60429430007935,13.808805465698242,363.4130997657776
24,Baseline,50000,390.6317808628082,14.615868330001833,405.24764919281006
25,PCNNGRU,1,0.0272977352142334,5.546236038208008,5.573533773422241
26,PCNNGRU,2001,9.794959783554075,0.6990451812744141,10.49400496482849
27,PCNNGRU,4001,22.744829416275024,1.0599334239959717,23.804762840270996
28,PCNNGRU,6001,37.48494744300842,1.5314526557922363,39.01640009880066
29,PCNNGRU,8001,53.40960621833801,2.0333352088928223,55.442941427230835
30,PCNNGRU,10001,61.787176847457886,2.943692445755005,64.73086929321289
31,PCNNGRU,12001,75.02707815170288,2.979878664016724,78.0069568157196
32,PCNNGRU,14001,87.76515197753906,7.221728086471558,94.98688006401062
33,PCNNGRU,16001,101.08550024032591,4.485762596130371,105.57126283645628
34,PCNNGRU,18001,113.6947112083435,4.7682785987854,118.4629898071289
35,PCNNGRU,20001,123.10063576698305,5.4679856300354,128.56862139701843
36,PCNNGRU,22001,147.21169638633728,6.00043249130249,153.21212887763977
37,PCNNGRU,24001,153.5447142124176,6.2682976722717285,159.81301188468933
38,PCNNGRU,26001,166.5887656211853,6.849921703338623,173.43868732452393
39,PCNNGRU,28001,179.84397387504578,7.363419055938721,187.2073929309845
40,PCNNGRU,30001,192.38799929618835,8.016743898391724,200.40474319458008
41,PCNNGRU,32001,206.94856786727905,8.722083330154419,215.67065119743347
42,PCNNGRU,34001,211.65601325035092,9.150139808654783,220.8061530590057
43,PCNNGRU,36001,234.1119349002838,9.591020345687866,243.70295524597168
44,PCNNGRU,38001,243.61501669883728,10.371190786361694,253.98620748519897
45,PCNNGRU,40001,250.515410900116,10.924921035766602,261.44033193588257
46,PCNNGRU,42001,263.17752289772034,11.195554733276367,274.3730776309967
47,PCNNGRU,44001,283.9656779766083,11.913521766662598,295.8791997432709
48,PCNNGRU,46001,292.7609791755676,12.532419204711914,305.29339838027954
49,PCNNGRU,48001,299.3075432777405,12.698208093643188,312.00575137138367
50,PLSTM,1,0.1850786209106445,4.581890344619751,4.7669689655303955
51,PLSTM,2001,10.10400938987732,1.0791678428649902,11.18317723274231
52,PLSTM,4001,22.31941246986389,2.296629905700684,24.616042375564575
53,PLSTM,6001,37.75800371170044,3.089186668395996,40.847190380096436
54,PLSTM,8001,49.14041781425476,4.120645999908447,53.26106381416321
55,PLSTM,10001,61.03826260566712,5.941882610321045,66.98014521598816
56,PLSTM,12001,70.94235062599182,7.193787336349487,78.13613796234131
57,PLSTM,14001,86.07770943641663,11.525846481323242,97.60355591773987
58,PLSTM,16001,100.01612567901611,8.554058074951172,108.57018375396729
59,PLSTM,18001,113.56961989402772,9.98684573173523,123.55646562576295
60,PLSTM,20001,125.46784901618958,10.224776983261108,135.69262599945068
61,PLSTM,22001,147.0546691417694,11.36960220336914,158.42427134513855
62,PLSTM,24001,157.15995693206787,12.967707872390749,170.12766480445862
63,PLSTM,26001,172.70116591453552,13.092459440231323,185.79362535476685
64,PLSTM,28001,177.69425463676453,16.361586570739746,194.05584120750427
65,PLSTM,30001,198.4796106815338,16.468668937683105,214.94827961921692
66,PLSTM,32001,205.1399066448212,18.016786098480225,223.15669274330142
67,PLSTM,34001,221.49193143844604,19.328330755233765,240.8202621936798
68,PLSTM,36001,230.09916186332703,20.08104681968689,250.18020868301392
69,PLSTM,38001,238.8143186569214,24.1728413105011,262.9871599674225
70,PLSTM,40001,254.4079523086548,23.017605304718018,277.4255576133728
71,PLSTM,42001,270.8723945617676,23.204890251159668,294.07728481292725
72,PLSTM,44001,281.24052476882935,25.32063698768616,306.5611617565155
73,PLSTM,46001,287.9162755012512,26.43091821670532,314.34719371795654
74,PLSTM,48001,289.886846780777,27.36759662628174,317.2544434070587
75,PCNNLSTM1,1,0.2703251838684082,1.8594894409179688,2.129814624786377
76,PCNNLSTM1,2001,11.976731300354004,0.5416944026947021,12.518425703048706
77,PCNNLSTM1,4001,23.314902305603027,0.9756591320037842,24.29056143760681
78,PCNNLSTM1,6001,36.442546367645264,1.4086909294128418,37.851237297058105
79,PCNNLSTM1,8001,48.56843709945679,1.750312328338623,50.31874942779541
80,PCNNLSTM1,10001,61.887595653533936,2.2388949394226074,64.12649059295654
81,PCNNLSTM1,12001,72.6747694015503,2.1940560340881348,74.86882543563843
82,PCNNLSTM1,14001,82.91466999053955,4.641943454742432,87.55661344528198
83,PCNNLSTM1,16001,103.35588073730467,3.449009656906128,106.8048903942108
84,PCNNLSTM1,18001,112.25353908538818,3.987370014190674,116.24090909957886
85,PCNNLSTM1,20001,123.0444004535675,3.968849897384644,127.01325035095215
86,PCNNLSTM1,22001,144.06777238845825,4.682143688201904,148.74991607666016
87,PCNNLSTM1,24001,156.50408220291138,4.704298496246338,161.20838069915771
88,PCNNLSTM1,26001,170.8327181339264,5.724562883377075,176.55728101730347
89,PCNNLSTM1,28001,178.38139295578003,5.615090608596802,183.99648356437683
90,PCNNLSTM1,30001,183.7668912410736,6.61229133605957,190.37918257713318
91,PCNNLSTM1,32001,197.4806318283081,6.887619018554688,204.3682508468628
92,PCNNLSTM1,34001,220.08036398887637,6.8866126537323,226.96697664260867
93,PCNNLSTM1,36001,227.8583493232727,7.707990169525146,235.56633949279785
94,PCNNLSTM1,38001,231.37200355529785,7.754923820495605,239.12692737579346
95,PCNNLSTM1,40001,249.77641129493716,8.150847434997559,257.9272587299347
96,PCNNLSTM1,42001,269.2371115684509,8.728554010391235,277.96566557884216
97,PCNNLSTM1,44001,280.0633089542389,9.141529321670532,289.2048382759094
98,PCNNLSTM1,46001,281.9622845649719,9.511472463607788,291.4737570285797
99,PCNNLSTM1,48001,289.90704011917114,9.876636028289797,299.78367614746094
100,PCNNLSTM2,1,0.2278125286102295,2.6411428451538086,2.868955373764038
101,PCNNLSTM2,2001,12.691065788269045,0.5308823585510254,13.22194814682007
102,PCNNLSTM2,4001,21.98442792892456,1.1112594604492188,23.09568738937378
103,PCNNLSTM2,6001,35.77860760688782,1.6300108432769775,37.408618450164795
104,PCNNLSTM2,8001,46.69371962547302,2.043123245239258,48.73684287071228
105,PCNNLSTM2,10001,60.21550059318543,3.0071189403533936,63.222619533538825
106,PCNNLSTM2,12001,71.55987691879272,2.8319015502929688,74.3917784690857
107,PCNNLSTM2,14001,80.79683303833008,6.108111381530762,86.90494441986084
108,PCNNLSTM2,16001,93.29851078987122,4.714903354644775,98.01341414451599
109,PCNNLSTM2,18001,105.81999111175536,5.069996356964111,110.88998746871947
110,PCNNLSTM2,20001,116.12128281593324,5.8880579471588135,122.00934076309206
111,PCNNLSTM2,22001,135.5835461616516,6.083436727523804,141.66698288917542
112,PCNNLSTM2,24001,149.34310102462769,6.597439527511597,155.94054055213928
113,PCNNLSTM2,26001,160.68182516098022,7.132471799850464,167.8142969608307
114,PCNNLSTM2,28001,176.92638063430786,7.822981834411621,184.74936246871948
115,PCNNLSTM2,30001,197.66366696357727,8.067920207977295,205.73158717155457
116,PCNNLSTM2,32001,205.574036359787,8.69504714012146,214.26908349990845
117,PCNNLSTM2,34001,218.4053680896759,9.0766019821167,227.4819700717926
118,PCNNLSTM2,36001,219.70962381362915,9.698058605194092,229.40768241882324
119,PCNNLSTM2,38001,238.02966403961184,10.291488647460938,248.32115268707278
