,model_name,num_files,preprocessing_time,inference_time
0,Baseline,2000,11.113295316696167,1.566072940826416
1,Baseline,4000,24.388108253479004,1.7818398475646973
2,Baseline,6000,34.08805251121521,2.178313970565796
3,Baseline,8000,46.00640058517456,2.6956799030303955
4,Baseline,10000,57.613903760910034,3.277988910675049
5,Baseline,12000,80.7978765964508,3.8355207443237305
6,Baseline,14000,85.64164447784424,4.603820085525513
7,Baseline,16000,96.03335642814636,5.125881195068359
8,Baseline,18000,122.40933680534363,5.670247793197632
9,Baseline,20000,115.92788910865784,6.022107839584351
10,Baseline,22000,147.0719485282898,6.758958578109741
11,Baseline,24000,151.4051423072815,7.16211199760437
12,Baseline,26000,162.38169622421265,8.048716068267822
13,Baseline,28000,190.8481833934784,8.25389814376831
14,Baseline,30000,188.79527163505554,8.883552312850952
15,Baseline,32000,209.2855565547943,9.399960041046143
16,Baseline,34000,221.04177832603455,9.941498756408691
17,Baseline,36000,233.13528633117676,10.47506833076477
18,Baseline,38000,259.3137593269348,11.14152216911316
19,Baseline,40000,269.39794182777405,11.537522315979004
20,Baseline,42000,299.0624737739563,12.206959009170532
21,Baseline,44000,312.3991448879242,12.666820764541626
22,Baseline,46000,329.1956946849823,13.459315538406372
23,Baseline,48000,349.60429430007935,13.808805465698242
24,Baseline,50000,390.6317808628082,14.615868330001831
