,loss,accuracy,val_loss,val_accuracy,model,len_instance,date,epoch,variable_set
0,0.6140028238296509,0.7501566410064697,0.5190069675445557,0.8120300769805908,BaselineReg,len45,2021-11-08,0,withoutLatLng
1,0.5032873749732971,0.802318274974823,0.48616671562194824,0.8120300769805908,BaselineReg,len45,2021-11-08,1,withoutLatLng
2,0.49732765555381775,0.802318274974823,0.4847966134548187,0.8120300769805908,BaselineReg,len45,2021-11-08,2,withoutLatLng
3,0.4972487986087799,0.802318274974823,0.48619142174720764,0.8120300769805908,BaselineReg,len45,2021-11-08,3,withoutLatLng
4,0.4972633719444275,0.802318274974823,0.49557533860206604,0.8120300769805908,BaselineReg,len45,2021-11-08,4,withoutLatLng
5,0.49727505445480347,0.802318274974823,0.5140642523765564,0.8120300769805908,BaselineReg,len45,2021-11-08,5,withoutLatLng
6,0.4972165524959564,0.802318274974823,0.5692822933197021,0.8120300769805908,BaselineReg,len45,2021-11-08,6,withoutLatLng
7,0.4971999526023865,0.802318274974823,0.623104453086853,0.8120300769805908,BaselineReg,len45,2021-11-08,7,withoutLatLng
8,0.4972361624240875,0.802318274974823,0.6177698373794556,0.8120300769805908,BaselineReg,len45,2021-11-08,8,withoutLatLng
9,0.49729856848716736,0.802318274974823,0.6145026087760925,0.8120300769805908,BaselineReg,len45,2021-11-08,9,withoutLatLng
10,0.4971897006034851,0.802318274974823,0.6097901463508606,0.8120300769805908,BaselineReg,len45,2021-11-08,10,withoutLatLng
11,0.4973571300506592,0.802318274974823,0.6159365773200989,0.8120300769805908,BaselineReg,len45,2021-11-08,11,withoutLatLng
12,0.49733999371528625,0.802318274974823,0.6094422340393066,0.8120300769805908,BaselineReg,len45,2021-11-08,12,withoutLatLng
13,0.4973296821117401,0.802318274974823,0.6149459481239319,0.8120300769805908,BaselineReg,len45,2021-11-08,13,withoutLatLng
14,0.49744775891304016,0.802318274974823,0.5984296798706055,0.8120300769805908,BaselineReg,len45,2021-11-08,14,withoutLatLng
15,0.4972992241382599,0.802318274974823,0.5962027907371521,0.8120300769805908,BaselineReg,len45,2021-11-08,15,withoutLatLng
16,0.49746623635292053,0.802318274974823,0.5957082509994507,0.8120300769805908,BaselineReg,len45,2021-11-08,16,withoutLatLng
17,0.4972873628139496,0.802318274974823,0.5925219058990479,0.8120300769805908,BaselineReg,len45,2021-11-08,17,withoutLatLng
18,0.4972616136074066,0.802318274974823,0.5888215899467468,0.8120300769805908,BaselineReg,len45,2021-11-08,18,withoutLatLng
19,0.4974357485771179,0.802318274974823,0.5965617299079895,0.8120300769805908,BaselineReg,len45,2021-11-08,19,withoutLatLng
20,0.49734413623809814,0.802318274974823,0.5926896929740906,0.8120300769805908,BaselineReg,len45,2021-11-08,20,withoutLatLng
21,0.4972415268421173,0.802318274974823,0.5861105918884277,0.8120300769805908,BaselineReg,len45,2021-11-08,21,withoutLatLng
22,0.49740123748779297,0.802318274974823,0.5756754875183105,0.8120300769805908,BaselineReg,len45,2021-11-08,22,withoutLatLng
23,0.49732697010040283,0.802318274974823,0.5732235312461853,0.8120300769805908,BaselineReg,len45,2021-11-08,23,withoutLatLng
24,0.49734190106391907,0.802318274974823,0.5724250078201294,0.8120300769805908,BaselineReg,len45,2021-11-08,24,withoutLatLng
25,0.4973214864730835,0.802318274974823,0.5733997225761414,0.8120300769805908,BaselineReg,len45,2021-11-08,25,withoutLatLng
26,0.49734383821487427,0.802318274974823,0.568828821182251,0.8120300769805908,BaselineReg,len45,2021-11-08,26,withoutLatLng
27,0.4973357617855072,0.802318274974823,0.5621118545532227,0.8120300769805908,BaselineReg,len45,2021-11-08,27,withoutLatLng
28,20725.748046875,0.8016917109489441,0.47254541516304016,0.8110902309417725,LeakyDropout,len45,2021-11-14,0,withoutLatLng
29,6156789.5,0.7545425891876221,2639.3310546875,0.6099624037742615,LeakyDropout,len45,2021-11-14,1,withoutLatLng
30,826710.375,0.7237625122070312,0.4914407432079315,0.8110902309417725,LeakyDropout,len45,2021-11-14,2,withoutLatLng
31,0.47900813817977905,0.8043546080589294,0.46576377749443054,0.813674807548523,LeakyDropout,len45,2021-11-14,3,withoutLatLng
32,0.5269627571105957,0.8092105388641357,0.39105674624443054,0.8251879811286926,LeakyDropout,len45,2021-11-14,4,withoutLatLng
33,312.4173583984375,0.82095867395401,0.3987690806388855,0.8317669034004211,LeakyDropout,len45,2021-11-14,5,withoutLatLng
34,0.3798660933971405,0.829573929309845,0.35772252082824707,0.8428101539611816,LeakyDropout,len45,2021-11-14,6,withoutLatLng
35,0.35135331749916077,0.846021294593811,0.3355386555194855,0.8524436354637146,LeakyDropout,len45,2021-11-14,7,withoutLatLng
36,0.32491156458854675,0.8580043911933899,0.3129248023033142,0.865366518497467,LeakyDropout,len45,2021-11-14,8,withoutLatLng
37,0.3133023679256439,0.8666979670524597,0.3261341452598572,0.8569079041481018,LeakyDropout,len45,2021-11-14,9,withoutLatLng
38,19.566131591796875,0.7923715710639954,0.3485340178012848,0.8531485199928284,LeakyDropout,len45,2021-11-14,10,withoutLatLng
39,0.3244633972644806,0.8565163016319275,0.3061824142932892,0.86654132604599,LeakyDropout,len45,2021-11-14,11,withoutLatLng
40,37.8617057800293,0.8728070259094238,0.5086840391159058,0.7497650384902954,LeakyDropout,len45,2021-11-14,12,withoutLatLng
41,1.0069926977157593,0.8428101539611816,0.3443363308906555,0.853383481502533,LeakyDropout,len45,2021-11-14,13,withoutLatLng
42,0.3114738464355469,0.8710839748382568,0.3074147701263428,0.8639567494392395,LeakyDropout,len45,2021-11-14,14,withoutLatLng
